source_file,fold,model,input,pairing,accuracy,macro_f1,balanced_accuracy,mcc,auroc,train_time_sec,infer_time_sec,n_train,n_test,n_features
dreamer_valence_eeg_only.csv,0,Logistic Regression,EEG,eeg_only,0.43555555555555553,0.4171341152473228,0.4166233766233766,-0.16404850385722503,0.41438961038961036,0.07024860382080078,0.0012671947479248047,3240,900,70
dreamer_valence_eeg_only.csv,0,KNN,EEG,eeg_only,0.4677777777777778,0.45764784474461895,0.46012987012987017,-0.07784818740079866,0.4548987012987013,0.017853975296020508,3.4818267822265625,3240,900,70
dreamer_valence_eeg_only.csv,0,SVM-RBF,EEG,eeg_only,0.5833333333333334,0.38738725656584727,0.48142857142857143,-0.08683647080387405,0.44747532467532464,3.07034969329834,0.27490925788879395,3240,900,70
dreamer_valence_eeg_only.csv,0,Random Forest,EEG,eeg_only,0.5822222222222222,0.43622175277724096,0.4935064935064935,-0.02089897794659809,0.48755584415584413,2.2234013080596924,0.10761404037475586,3240,900,70
dreamer_valence_eeg_only.csv,0,XGBoost,EEG,eeg_only,0.5166666666666667,0.41247885899342546,0.44506493506493505,-0.13653160179973386,0.47714805194805193,1.5120630264282227,0.008076190948486328,3240,900,70
dreamer_valence_eeg_only.csv,1,Logistic Regression,EEG,eeg_only,0.49333333333333335,0.4763676450323825,0.4768831168831169,-0.04551177738167505,0.462935064935065,0.11956524848937988,0.002043485641479492,3240,900,70
dreamer_valence_eeg_only.csv,1,KNN,EEG,eeg_only,0.5588888888888889,0.4889223599685887,0.5014285714285714,0.0032561702481803973,0.49342857142857144,0.037647247314453125,0.01973748207092285,3240,900,70
dreamer_valence_eeg_only.csv,1,SVM-RBF,EEG,eeg_only,0.3888888888888889,0.3113484215271092,0.4875324675324675,-0.05409852875979861,0.4948571428571429,3.276050329208374,0.27545928955078125,3240,900,70
dreamer_valence_eeg_only.csv,1,Random Forest,EEG,eeg_only,0.6122222222222222,0.4852431451791325,0.5279220779220779,0.08551559548760396,0.4801324675324676,2.0047521591186523,0.08522677421569824,3240,900,70
dreamer_valence_eeg_only.csv,1,XGBoost,EEG,eeg_only,0.5877777777777777,0.5055611414592684,0.522987012987013,0.055685584309308825,0.5168311688311689,1.3528501987457275,0.006041288375854492,3240,900,70
dreamer_valence_eeg_only.csv,2,Logistic Regression,EEG,eeg_only,0.5188888888888888,0.5181601805199221,0.5324074074074074,0.06398500054001219,0.5140174897119342,0.1051790714263916,0.0020818710327148438,3240,900,70
dreamer_valence_eeg_only.csv,2,KNN,EEG,eeg_only,0.5488888888888889,0.4807623443281741,0.49629629629629635,-0.00852403878801926,0.4879012345679013,0.031183719635009766,0.015279769897460938,3240,900,70
dreamer_valence_eeg_only.csv,2,SVM-RBF,EEG,eeg_only,0.4411111111111111,0.4330981991131437,0.4842592592592593,-0.0343076436872609,0.4599819958847737,3.3404312133789062,0.26712489128112793,3240,900,70
dreamer_valence_eeg_only.csv,2,Random Forest,EEG,eeg_only,0.6133333333333333,0.4504298999824531,0.5254629629629629,0.10891622972743419,0.5767206790123456,2.03118634223938,0.0896306037902832,3240,900,70
dreamer_valence_eeg_only.csv,2,XGBoost,EEG,eeg_only,0.5411111111111111,0.5133383522634284,0.5138888888888888,0.028331529878993136,0.545514403292181,1.3737962245941162,0.006477832794189453,3240,900,70
dreamer_valence_eeg_only.csv,3,Logistic Regression,EEG,eeg_only,0.4861111111111111,0.47867335676433065,0.505625,0.011935247900657213,0.4879453125,0.17786669731140137,0.002068758010864258,3420,720,70
dreamer_valence_eeg_only.csv,3,KNN,EEG,eeg_only,0.48194444444444445,0.44532452109258014,0.45906250000000004,-0.08889787479844208,0.40302343749999997,0.03732156753540039,0.016056299209594727,3420,720,70
dreamer_valence_eeg_only.csv,3,SVM-RBF,EEG,eeg_only,0.4166666666666667,0.30183591296959844,0.4675,-0.1670653091045332,0.44783593750000006,3.6030876636505127,0.23500299453735352,3420,720,70
dreamer_valence_eeg_only.csv,3,Random Forest,EEG,eeg_only,0.5236111111111111,0.3858534413942142,0.476875,-0.08378957475890365,0.4748515625,2.1695756912231445,0.09565329551696777,3420,720,70
dreamer_valence_eeg_only.csv,3,XGBoost,EEG,eeg_only,0.49444444444444446,0.4503171247357294,0.46875,-0.0697736308182646,0.5082265625,1.3168518543243408,0.0069200992584228516,3420,720,70
