source_file,fold,model,input,pairing,accuracy,macro_f1,balanced_accuracy,mcc,auroc,train_time_sec,infer_time_sec,n_train,n_test,n_features
dreamer_valence_eeg_only.csv,0,Logistic Regression,EEG,eeg_only,0.4685185185185185,0.4409090909090909,0.44157423971377463,-0.11786800818330141,0.44564221824686945,0.056972503662109375,0.0012574195861816406,3060,1080,70
dreamer_valence_eeg_only.csv,0,KNN,EEG,eeg_only,0.4935185185185185,0.4764506480558325,0.47651162790697676,-0.04657234575050219,0.46296779964221824,0.01957869529724121,2.2221293449401855,3060,1080,70
dreamer_valence_eeg_only.csv,0,SVM-RBF,EEG,eeg_only,0.5796296296296296,0.3807965084560829,0.4842933810375671,-0.08345991767838479,0.4658533094812165,5.2190940380096436,0.31537866592407227,3060,1080,70
dreamer_valence_eeg_only.csv,0,Random Forest,EEG,eeg_only,0.5787037037037037,0.5023651327482022,0.5205187835420393,0.049304330691439635,0.5149660107334526,1.2432889938354492,0.04740762710571289,3060,1080,70
dreamer_valence_eeg_only.csv,0,XGBoost,EEG,eeg_only,0.5675925925925925,0.5125218556180899,0.5207334525939177,0.045953118366011195,0.5230017889087656,0.9545161724090576,0.004240512847900391,3060,1080,70
dreamer_valence_eeg_only.csv,1,Logistic Regression,EEG,eeg_only,0.5101851851851852,0.47407326262921023,0.474743052912067,-0.04903095568029983,0.43582794061667296,0.05958867073059082,0.0015115737915039062,3060,1080,70
dreamer_valence_eeg_only.csv,1,KNN,EEG,eeg_only,0.5546296296296296,0.45112151971759407,0.46389417586600684,-0.08230908859554396,0.45513323182337273,0.016041994094848633,0.013331413269042969,3060,1080,70
dreamer_valence_eeg_only.csv,1,SVM-RBF,EEG,eeg_only,0.37037037037037035,0.3576466636811464,0.4602969166349448,-0.09388633542306406,0.44330414921964223,3.1221354007720947,0.36342954635620117,3060,1080,70
dreamer_valence_eeg_only.csv,1,Random Forest,EEG,eeg_only,0.6509259259259259,0.43981475748832943,0.5080129425199849,0.03727803139171593,0.44977350590026643,2.3753395080566406,0.12931013107299805,3060,1080,70
dreamer_valence_eeg_only.csv,1,XGBoost,EEG,eeg_only,0.6333333333333333,0.4727706660880885,0.5101636848115721,0.031395704424737936,0.4618195660449182,1.3374683856964111,0.0075113773345947266,3060,1080,70
dreamer_valence_eeg_only.csv,2,Logistic Regression,EEG,eeg_only,0.5268518518518519,0.5216147971058337,0.554523141654979,0.11546993031477715,0.5847370266479663,0.11603522300720215,0.002519845962524414,3060,1080,70
dreamer_valence_eeg_only.csv,2,KNN,EEG,eeg_only,0.5296296296296297,0.5047642430829112,0.5075736325385695,0.015703430263911848,0.5281556802244038,0.03319287300109863,0.022531747817993164,3060,1080,70
dreamer_valence_eeg_only.csv,2,SVM-RBF,EEG,eeg_only,0.4287037037037037,0.31928438846841034,0.49905329593267883,-0.005996846487903034,0.5166654978962132,2.995851755142212,0.32857179641723633,3060,1080,70
dreamer_valence_eeg_only.csv,2,Random Forest,EEG,eeg_only,0.5898148148148148,0.432212370896671,0.5232468443197755,0.10838669858344506,0.5125017531556803,1.8339619636535645,0.09674692153930664,3060,1080,70
dreamer_valence_eeg_only.csv,2,XGBoost,EEG,eeg_only,0.5462962962962963,0.49168366817663134,0.50890603085554,0.020442590588020157,0.523008415147265,1.2917251586914062,0.008144378662109375,3060,1080,70
dreamer_valence_eeg_only.csv,3,Logistic Regression,EEG,eeg_only,0.5188888888888888,0.5163662312680339,0.5225650178480368,0.04443583740161477,0.5144212136664966,0.11706423759460449,0.0032608509063720703,3240,900,70
dreamer_valence_eeg_only.csv,3,KNN,EEG,eeg_only,0.5155555555555555,0.4771234862698277,0.482610912799592,-0.03675177979359789,0.46103518612952576,0.038901567459106445,0.018520832061767578,3240,900,70
dreamer_valence_eeg_only.csv,3,SVM-RBF,EEG,eeg_only,0.5722222222222222,0.401181047250531,0.49278429372768995,-0.03129571071152818,0.4568842427332993,3.3801515102386475,0.2769489288330078,3240,900,70
dreamer_valence_eeg_only.csv,3,Random Forest,EEG,eeg_only,0.5777777777777777,0.4573358044123994,0.5101478837327894,0.030979977028340922,0.5146991330953595,1.893571138381958,0.0950005054473877,3240,900,70
dreamer_valence_eeg_only.csv,3,XGBoost,EEG,eeg_only,0.5588888888888889,0.5183850735766884,0.5238908720040796,0.05135822131428796,0.5572972972972973,1.2608377933502197,0.006254673004150391,3240,900,70
dreamer_valence_ecg_only.csv,0,Logistic Regression,ECG,ecg_only,0.5157407407407407,0.508509544141819,0.5122898032200358,0.024082453001023036,0.5037710196779964,0.0452423095703125,0.0016849040985107422,3060,1080,14
dreamer_valence_ecg_only.csv,0,KNN,ECG,ecg_only,0.5518518518518518,0.5121769123949171,0.515134168157424,0.03185211118173487,0.5116815742397137,0.01437067985534668,0.07310771942138672,3060,1080,14
dreamer_valence_ecg_only.csv,0,SVM-RBF,ECG,ecg_only,0.4722222222222222,0.47108858149325544,0.48282647584973165,-0.03383639475502508,0.4804758497316637,2.0526046752929688,0.21135282516479492,3060,1080,14
dreamer_valence_ecg_only.csv,0,Random Forest,ECG,ecg_only,0.5740740740740741,0.49732676593316305,0.5158855098389982,0.03810963934398907,0.5151753130590341,1.1286330223083496,0.08275437355041504,3060,1080,14
dreamer_valence_ecg_only.csv,0,XGBoost,ECG,ecg_only,0.5583333333333333,0.5081417830290011,0.5146153846153846,0.031785597489836,0.5256672629695885,0.7677645683288574,0.006309032440185547,3060,1080,14
dreamer_valence_ecg_only.csv,1,Logistic Regression,ECG,ecg_only,0.43148148148148147,0.431286449399657,0.4724781119147316,-0.05438528486691595,0.457087933003426,0.04104113578796387,0.0014622211456298828,3060,1080,14
dreamer_valence_ecg_only.csv,1,KNN,ECG,ecg_only,0.549074074074074,0.4872559771879798,0.4881423677198325,-0.02433086059235735,0.4898934145413018,0.015099763870239258,0.0626063346862793,3060,1080,14
dreamer_valence_ecg_only.csv,1,SVM-RBF,ECG,ecg_only,0.55,0.5054945054945055,0.5056718690521508,0.01123344181380606,0.5475751808146174,2.038860559463501,0.2237534523010254,3060,1080,14
dreamer_valence_ecg_only.csv,1,Random Forest,ECG,ecg_only,0.6296296296296297,0.4735918582207405,0.5086410354015988,0.0259097454680079,0.5113818043395508,1.0954267978668213,0.06944632530212402,3060,1080,14
dreamer_valence_ecg_only.csv,1,XGBoost,ECG,ecg_only,0.6324074074074074,0.4841420233673701,0.5146364674533689,0.04255274191333013,0.5040388275599543,0.6034600734710693,0.005536079406738281,3060,1080,14
dreamer_valence_ecg_only.csv,2,Logistic Regression,ECG,ecg_only,0.4527777777777778,0.4495265676651623,0.4745792426367461,-0.05274058030537785,0.4696879382889201,0.03759145736694336,0.0014395713806152344,3060,1080,14
dreamer_valence_ecg_only.csv,2,KNN,ECG,ecg_only,0.5,0.474025974025974,0.47755960729312763,-0.046472323936833336,0.48258765778401125,0.012964010238647461,0.06874942779541016,3060,1080,14
dreamer_valence_ecg_only.csv,2,SVM-RBF,ECG,ecg_only,0.4842592592592593,0.4826086993916635,0.5036816269284712,0.007543702109025691,0.49959677419354837,1.977677822113037,0.22771787643432617,3060,1080,14
dreamer_valence_ecg_only.csv,2,Random Forest,ECG,ecg_only,0.537962962962963,0.48056854862416976,0.49968443197755963,-0.0007290134483492153,0.493953366058906,1.1038854122161865,0.07258725166320801,3060,1080,14
dreamer_valence_ecg_only.csv,2,XGBoost,ECG,ecg_only,0.5277777777777778,0.4882943143812709,0.49754558204768584,-0.005315834969660897,0.5051542776998598,0.6981041431427002,0.006063222885131836,3060,1080,14
dreamer_valence_ecg_only.csv,3,Logistic Regression,ECG,ecg_only,0.5166666666666667,0.4868339819454694,0.48926568077511473,-0.022179516757627138,0.4342070372259052,0.043665170669555664,0.0013532638549804688,3240,900,14
dreamer_valence_ecg_only.csv,3,KNN,ECG,ecg_only,0.46,0.42501538024703045,0.4297297297297297,-0.1457485372396614,0.4202371239163692,0.015429258346557617,0.06195855140686035,3240,900,14
dreamer_valence_ecg_only.csv,3,SVM-RBF,ECG,ecg_only,0.4688888888888889,0.4660172483131507,0.4707292197858236,-0.057636932126043816,0.438092809790923,2.2688190937042236,0.22018122673034668,3240,900,14
dreamer_valence_ecg_only.csv,3,Random Forest,ECG,ecg_only,0.5322222222222223,0.4247577347995002,0.47024477307496176,-0.08055669033074207,0.4533095359510454,1.3228719234466553,0.08443999290466309,3240,900,14
dreamer_valence_ecg_only.csv,3,XGBoost,ECG,ecg_only,0.5244444444444445,0.46042863146098895,0.4783273839877613,-0.04962657830354646,0.47833248342682305,0.8022482395172119,0.006626129150390625,3240,900,14
dreamer_valence_correct.csv,0,Logistic Regression,EEG--ECG,correct,0.4787037037037037,0.4704291593180482,0.47286225402504467,-0.05319451287767012,0.4573953488372093,0.17158246040344238,0.003348112106323242,3060,1080,84
dreamer_valence_correct.csv,0,KNN,EEG--ECG,correct,0.5509259259259259,0.5074100092254826,0.5116100178890877,0.024696526386699377,0.5351377459749553,0.040828704833984375,0.025457143783569336,3060,1080,84
dreamer_valence_correct.csv,0,SVM-RBF,EEG--ECG,correct,0.4777777777777778,0.47125,0.4748479427549195,-0.04925781406109846,0.4857030411449016,3.5786848068237305,0.37778139114379883,3060,1080,84
dreamer_valence_correct.csv,0,Random Forest,EEG--ECG,correct,0.575925925925926,0.4951499118165785,0.5158497316636852,0.038659918670503945,0.5198819320214669,2.147078037261963,0.12782645225524902,3060,1080,84
dreamer_valence_correct.csv,0,XGBoost,EEG--ECG,correct,0.5509259259259259,0.49301909163500857,0.5029516994633274,0.00655672612864977,0.5176457960644008,1.3994905948638916,0.007275819778442383,3060,1080,84
dreamer_valence_correct.csv,1,Logistic Regression,EEG--ECG,correct,0.4722222222222222,0.4476030494895981,0.450399695470118,-0.0947044233160044,0.43671107727445757,0.12582921981811523,0.0045969486236572266,3060,1080,84
dreamer_valence_correct.csv,1,KNN,EEG--ECG,correct,0.5435185185185185,0.458941478816061,0.4651503616292349,-0.07522045038523253,0.44133993148077655,0.03360319137573242,0.022813796997070312,3060,1080,84
dreamer_valence_correct.csv,1,SVM-RBF,EEG--ECG,correct,0.4666666666666667,0.43896103896103894,0.44035020936429387,-0.11419710893771189,0.43979824895317854,3.0227620601654053,0.3162829875946045,3060,1080,84
dreamer_valence_correct.csv,1,Random Forest,EEG--ECG,correct,0.6555555555555556,0.42486085343228197,0.5063570612866388,0.039364927053504195,0.4559878188047202,2.1160640716552734,0.08763694763183594,3060,1080,84
dreamer_valence_correct.csv,1,XGBoost,EEG--ECG,correct,0.6212962962962963,0.45466060734008157,0.4964788732394366,-0.010919160085756574,0.4654434716406547,1.615976333618164,0.007410287857055664,3060,1080,84
dreamer_valence_correct.csv,2,Logistic Regression,EEG--ECG,correct,0.462037037037037,0.44504143085703374,0.4989130434782609,-0.002479465231068194,0.5399333800841515,0.13176608085632324,0.0024144649505615234,3060,1080,84
dreamer_valence_correct.csv,2,KNN,EEG--ECG,correct,0.5259259259259259,0.49381920440564764,0.49957924263674613,-0.0008904126444072157,0.500101683029453,0.034751176834106445,0.022634267807006836,3060,1080,84
dreamer_valence_correct.csv,2,SVM-RBF,EEG--ECG,correct,0.47314814814814815,0.4469637995815241,0.5167251051893408,0.04072858271973152,0.5194740532959327,2.912781000137329,0.2863287925720215,3060,1080,84
dreamer_valence_correct.csv,2,Random Forest,EEG--ECG,correct,0.5888888888888889,0.4206428602496629,0.5204768583450211,0.10991132019217491,0.5124456521739131,1.2240941524505615,0.04788517951965332,3060,1080,84
dreamer_valence_correct.csv,2,XGBoost,EEG--ECG,correct,0.5472222222222223,0.4764822445878284,0.5038218793828892,0.009337677932578257,0.5251262272089761,0.8377530574798584,0.00416111946105957,3060,1080,84
dreamer_valence_correct.csv,3,Logistic Regression,EEG--ECG,correct,0.5244444444444445,0.5022612740664169,0.5028046914839368,0.005692727773156676,0.4850484446710862,0.08435440063476562,0.0013108253479003906,3240,900,84
dreamer_valence_correct.csv,3,KNN,EEG--ECG,correct,0.49,0.4469872114955977,0.45479347271800097,-0.0961882530050263,0.44116777154513004,0.033820152282714844,0.02392292022705078,3240,900,84
dreamer_valence_correct.csv,3,SVM-RBF,EEG--ECG,correct,0.45666666666666667,0.45054464870938543,0.4521927587965324,-0.09414372330850586,0.4395512493625701,2.6330926418304443,0.23937296867370605,3240,900,84
dreamer_valence_correct.csv,3,Random Forest,EEG--ECG,correct,0.57,0.4325060162834765,0.4982406935237124,-0.005858755777464141,0.5134982151963283,1.3110990524291992,0.04745960235595703,3240,900,84
dreamer_valence_correct.csv,3,XGBoost,EEG--ECG,correct,0.5655555555555556,0.5282784912954714,0.5324069352371239,0.06909121752060225,0.5644722080571138,0.896594762802124,0.004407167434692383,3240,900,84
dreamer_valence_paired_all.csv,0,Logistic Regression,EEG--ECG,correct,0.4787037037037037,0.4704291593180482,0.47286225402504467,-0.05319451287767012,0.4573953488372093,0.07463955879211426,0.0015861988067626953,3060,1080,84
dreamer_valence_paired_all.csv,0,KNN,EEG--ECG,correct,0.5509259259259259,0.5074100092254826,0.5116100178890877,0.024696526386699377,0.5351377459749553,0.022443532943725586,0.015247106552124023,3060,1080,84
dreamer_valence_paired_all.csv,0,SVM-RBF,EEG--ECG,correct,0.4777777777777778,0.47125,0.4748479427549195,-0.04925781406109846,0.48565831842576024,3.4745240211486816,0.8314480781555176,3060,1080,84
dreamer_valence_paired_all.csv,0,Random Forest,EEG--ECG,correct,0.575925925925926,0.4951499118165785,0.5158497316636852,0.038659918670503945,0.5198819320214669,2.4423727989196777,0.058991432189941406,3060,1080,84
dreamer_valence_paired_all.csv,0,XGBoost,EEG--ECG,correct,0.5509259259259259,0.49301909163500857,0.5029516994633274,0.00655672612864977,0.5176457960644008,1.1632804870605469,0.006970405578613281,3060,1080,84
dreamer_valence_paired_all.csv,1,Logistic Regression,EEG--ECG,correct,0.4722222222222222,0.4476030494895981,0.450399695470118,-0.0947044233160044,0.43671107727445757,0.11972498893737793,0.00238800048828125,3060,1080,84
dreamer_valence_paired_all.csv,1,KNN,EEG--ECG,correct,0.5435185185185185,0.458941478816061,0.4651503616292349,-0.07522045038523253,0.44133993148077655,0.03446030616760254,0.022909879684448242,3060,1080,84
dreamer_valence_paired_all.csv,1,SVM-RBF,EEG--ECG,correct,0.4666666666666667,0.43896103896103894,0.44035020936429387,-0.11419710893771189,0.43964598401218125,3.948395013809204,0.3632164001464844,3060,1080,84
