source_file,fold,model,input,pairing,accuracy,macro_f1,balanced_accuracy,mcc,auroc,train_time_sec,infer_time_sec,n_train,n_test,n_features
dreamer_arousal_eeg_only.csv,0,Logistic Regression,EEG,eeg_only,0.39555555555555555,0.3763343337120845,0.376236613972463,-0.24732757762753824,0.4281693013768486,0.09885573387145996,0.0019385814666748047,3240,900,70
dreamer_arousal_eeg_only.csv,0,KNN,EEG,eeg_only,0.6066666666666667,0.5906546955221272,0.5901580826109127,0.1818075224260617,0.5782075471698113,0.027727127075195312,1.9471373558044434,3240,900,70
dreamer_arousal_eeg_only.csv,0,SVM-RBF,EEG,eeg_only,0.46444444444444444,0.4097348841512864,0.5354920958694543,0.11314537275469207,0.5561652218255991,2.7694168090820312,0.25912952423095703,3240,900,70
dreamer_arousal_eeg_only.csv,0,Random Forest,EEG,eeg_only,0.5777777777777777,0.49301487156376744,0.5215706272310046,0.055251729638041466,0.5172055073941867,1.1955289840698242,0.04788661003112793,3240,900,70
dreamer_arousal_eeg_only.csv,0,XGBoost,EEG,eeg_only,0.6155555555555555,0.5413546680491814,0.561805201427843,0.15609307538112163,0.5658643549209588,0.8850603103637695,0.0057065486907958984,3240,900,70
dreamer_arousal_eeg_only.csv,1,Logistic Regression,EEG,eeg_only,0.4911111111111111,0.4822102412332491,0.4979218208807521,-0.004362447055891559,0.5199406234537358,0.11597299575805664,0.0030829906463623047,3240,900,70
dreamer_arousal_eeg_only.csv,1,KNN,EEG,eeg_only,0.4988888888888889,0.4839757891966727,0.49230578921326074,-0.016092122271634392,0.49440623453735777,0.03252363204956055,0.024637222290039062,3240,900,70
dreamer_arousal_eeg_only.csv,1,SVM-RBF,EEG,eeg_only,0.4955555555555556,0.39161663807890223,0.5149430974764968,0.06079722252784007,0.548396833250866,3.469470262527466,0.2864654064178467,3240,900,70
dreamer_arousal_eeg_only.csv,1,Random Forest,EEG,eeg_only,0.5177777777777778,0.41181431041025424,0.49990103908955963,-0.00033285683847872365,0.5070559129143989,1.9418606758117676,0.13286471366882324,3240,900,70
dreamer_arousal_eeg_only.csv,1,XGBoost,EEG,eeg_only,0.5211111111111111,0.48796067369010204,0.5108114794656111,0.024391979795953343,0.5193419099455715,1.2986469268798828,0.0067026615142822266,3240,900,70
dreamer_arousal_eeg_only.csv,2,Logistic Regression,EEG,eeg_only,0.4888888888888889,0.483251868531287,0.48325,-0.03345286466783307,0.5236725,0.09724068641662598,0.0020885467529296875,3240,900,70
dreamer_arousal_eeg_only.csv,2,KNN,EEG,eeg_only,0.5211111111111111,0.5189010255755142,0.52,0.039764201544074944,0.5063925,0.03873443603515625,0.01952838897705078,3240,900,70
dreamer_arousal_eeg_only.csv,2,SVM-RBF,EEG,eeg_only,0.45444444444444443,0.42814697101653704,0.48424999999999996,-0.03719407492445761,0.46234,3.4100844860076904,0.2884070873260498,3240,900,70
